Title,Description,Deadline,Link,Category,Cost,Location,Major/Subject,Eligibility
NSA Student & Internship Programs,"Paid internships, scholarships from NSA",Varies,https://www.intelligencecareers.gov/nsa/students-and-internships,Internship/Scholarship,Free,National,STEM/Cyber,High School+
Stanford AIMI AI in Medicine Internship,Virtual summer AI & healthcare research,Varies,https://aimi.stanford.edu/education/summer-research-internship,Internship,Free,Virtual,AI/Medicine,HS 9–12
Northwestern SciHigh Summer Program,Research-intensive STEM internship,Varies,https://www.feinberg.northwestern.edu/sites/stem-programs/hs.html,Research,Free,"Chicago, IL area",STEM,High School Students
Scripps High School Internship,Biomedical summer research experience,Varies,https://www.scripps.edu/internship/,Internship,Free,CA,Biomedical,High School Students
George Mason ASSIP,STEM research with faculty mentorship,Varies,https://science.gmu.edu/assip,Internship,Free,VA,STEM,High School Students
Vanderbilt IMSD Biomedical Program,Lab skills & biomedical research,"June 9–20, 2025",https://medschool.vanderbilt.edu/imsd/high-school-summer-program/,Summer Program,Free,"Nashville, TN",Biomedical,High School Students
Princeton PPPL Summer Internship,Research at plasma physics lab,Varies,https://pppl-new2.princeton.edu/high-school-summer-internship,Internship,Free,"Princeton, NJ",Physics/Engineering,HS Seniors
Utah U High School Research Internship,8‑week engineering research program,Varies,https://www.price.utah.edu/k12/high-school-summer-research-internship,Research,Free,UT,Engineering,HS grads
AEOP STEM Research Program,6–8 week faculty‑mentored STEM research,Summer 2025,https://cstem.charlotte.edu/pk-20-students/stem-research-experience-program/,Internship,Free,"Charlotte, NC",STEM,Rising HS juniors/seniors
Summer Science Program (SSP),College‑level astrophysics/biochemistry research,Varies,http://www.summerscience.org/,Summer Program,Fee (aid available),Multiple campuses,STEM,Juniors/Seniors
FSU Young Scholars Program,"Residential math/science research, 6‑weeks",Varies,http://ysp.osta.fsu.edu/,Summer Program,Free,"Tallahassee, FL",Math/STEM,11th graders in FL
Research Science Institute (RSI),"Elite MIT-based STEM research, 6‑weeks",Varies,https://www.cee.org/programs/research-science-institute,Research,Free,"MIT, MA",STEM,Rising Seniors
QCaMP Quantum Computing Camp,4‑week quantum science summer camp,"July 1–26, 2024",https://arxiv.org/abs/2504.15977,Summer Camp,Free?,US,Quantum/Physics,High School Students
QuarkNet Summer Research,Particle physics data research with labs,Varies,https://quarknet.org/,Research/Outreach,Free,National,Physics,HS & teachers
Voice of Democracy,Audio‑essay scholarship via VFW,Oct 31,https://en.wikipedia.org/wiki/Voice_of_Democracy_(scholarship),Scholarship,Free,National,Writing/Patriotism,Grades 9–12
Coca‑Cola Scholars Program,$20K achievement scholarship,"Opens Aug 1, 2025",https://www.coca-colascholarsfoundation.org/apply/,Scholarship,Free,National,Any,HS Seniors
Joyce Ivy Summer Scholars,Scholarships for female HS summer study,Varies,https://joyceivyfoundation.org/summer-scholars/,Scholarship,Free,Partner campuses,Academic,Female HS
CIEE Study Abroad Scholarships,Covers summer abroad tuition up to 100%,"Apr 10, 2025",https://www.ciee.org/go-abroad/high-school-study-abroad/summer/high-school-study-abroad-scholarships,Scholarship,Free / Aid,Global,Languages/Culture,HS 9–11
Pulsar Search Collaboratory,Radio astronomy research with NRAO,Varies,https://quarknet.org/,Outreach,Free,National,Astronomy,HS teams
NetSci High,Year‑long network science research,Varies,https://arxiv.org/abs/1412.3125,Outreach,Free,National,Data Science,High School Students
